Rank;Sourceid;Title;Issn;SJR;Year;SJR Best Quartile;Categories
12477;34862;Proceedings of the Yorkshire Geological Society;20414811, 00440604;0,377;2021;Q3;Geology (Q3)
12478;14415;Rehabilitation Counseling Bulletin;00343552, 15384853;0,377;2021;Q2;"Rehabilitation (Q2); Applied Psychology (Q3); Public Health, Environmental and Occupational Health (Q3)"
12479;54509;Reports of Practical Oncology and Radiotherapy;15071367;0,377;2021;Q3;"Oncology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Cancer Research (Q4)"
12480;14121;Revue Europeenne de Psychologie Appliquee;11629088;0,377;2021;Q3;Applied Psychology (Q3)
12481;23857;Revue Suisse de Zoologie;0035418X;0,377;2021;Q3;Ecology, Evolution, Behavior and Systematics (Q3)
12482;6300153104;Thermal Science;3549836;0,377;2021;Q3;Renewable Energy, Sustainability and the Environment (Q3)
12483;28473;Ageing International;1936606X, 01635158;0,376;2021;Q3;Health (social science) (Q3)
12484;21469;Bird Study;00063657, 19446705;0,376;2021;Q2;"Nature and Landscape Conservation (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
12485;79372;Bulletin of the Brazilian Mathematical Society;16787714, 16787544;0,376;2021;Q3;Mathematics (miscellaneous) (Q3)
12486;22769;Chemical and Pharmaceutical Bulletin;00092363, 13475223;0,376;2021;Q2;"Chemistry (miscellaneous) (Q2); Drug Discovery (Q3); Medicine (miscellaneous) (Q3)"
12487;29305;Clinical and Investigative Medicine;14882353, 0147958X;0,376;2021;Q3;Medicine (miscellaneous) (Q3)
12488;21101041955;Crohn's and Colitis 360;2631827X;0,376;2021;Q3;Gastroenterology (Q3)
12489;17948;Dendrobiology;16411307;0,376;2021;Q2;"Forestry (Q2); Plant Science (Q2)"
12490;50122;European Annals of Allergy and Clinical Immunology;17641489;0,376;2021;Q4;Immunology and Allergy (Q4)
12491;12728;Geburtshilfe und Frauenheilkunde;14388804, 00165751;0,376;2021;Q2;"Maternity and Midwifery (Q2); Obstetrics and Gynecology (Q3)"
12492;4700152837;History and Philosophy of Logic;14645149, 01445340;0,376;2021;Q1;"History (Q1); History and Philosophy of Science (Q2)"
12493;19300157105;HTS Teologiese Studies / Theological Studies;20728050, 02599422;0,376;2021;Q1;Religious Studies (Q1)
12494;19600157902;IEEE Magnetics Letters;1949307X;0,376;2021;Q3;Electronic, Optical and Magnetic Materials (Q3)
12495;21100373959;International Journal of Electrical and Computer Engineering;20888708;0,376;2021;Q2;"Computer Science (miscellaneous) (Q2); Electrical and Electronic Engineering (Q3)"
12496;130072;International Journal of Medicinal Mushrooms;15219437;0,376;2021;Q3;"Applied Microbiology and Biotechnology (Q3); Drug Discovery (Q3); Pharmacology (Q3)"
12497;4000149107;International Journal of Wavelets, Multiresolution and Information Processing;2196913;0,376;2021;Q3;"Applied Mathematics (Q3); Information Systems (Q3); Signal Processing (Q3)"
12498;15726;Kolner Zeitschrift fur Soziologie und Sozialpsychologie;00232653, 1861891X;0,376;2021;Q2;"Sociology and Political Science (Q2); Social Psychology (Q3)"
12499;17700156763;Measurement Science Review;13358871;0,376;2021;Q3;"Biomedical Engineering (Q3); Control and Systems Engineering (Q3); Instrumentation (Q3)"
12500;5100154603;Opiniao Publica;01046276, 18070191;0,376;2021;Q2;Sociology and Political Science (Q2)
12501;21100826956;Quanta;13147374;0,376;2021;Q2;"History and Philosophy of Science (Q2); Atomic and Molecular Physics, and Optics (Q3); Mathematical Physics (Q3)"
12502;19700175790;Revista de Psicologia Social;15793680, 02134748;0,376;2021;Q3;Social Psychology (Q3)
12503;21100844882;Science Editing;22887474, 22888063;0,376;2021;Q2;"Communication (Q2); Health Informatics (Q3)"
12504;18960;Singapore Medical Journal;375675;0,376;2021;Q3;Medicine (miscellaneous) (Q3)
12505;20835;Technical Communication;493155;0,376;2021;Q2;"Communication (Q2); Social Sciences (miscellaneous) (Q2)"
12506;21100907367;Water Economics and Policy;2382624X, 23826258;0,376;2021;Q2;"Business and International Management (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3); Water Science and Technology (Q3)"
12507;12922;Acoustical Physics;15626865, 10637710;0,375;2021;Q2;Acoustics and Ultrasonics (Q2)
12508;19900193962;AIP Advances;21583226;0,375;2021;Q3;"Nanoscience and Nanotechnology (Q3); Physics and Astronomy (miscellaneous) (Q3)"
12509;21100899564;Current Opinion in Endocrine and Metabolic Research;24519650;0,375;2021;Q3;Endocrinology, Diabetes and Metabolism (Q3)
12510;19700171105;Differential Equations and Dynamical Systems;09713514, 09746870;0,375;2021;Q3;"Analysis (Q3); Applied Mathematics (Q3)"
12511;20657;Enterprise and Society;14672227, 14672235;0,375;2021;Q1;"History (Q1); Business, Management and Accounting (miscellaneous) (Q2)"
12512;11900154333;Expert Review of Ophthalmology;17469899;0,375;2021;Q3;"Biomedical Engineering (Q3); Ophthalmology (Q3); Optometry (Q3)"
12513;19700175786;HIV/AIDS - Research and Palliative Care;11791373;0,375;2021;Q3;"Dermatology (Q3); Health Policy (Q3); Infectious Diseases (Q3); Epidemiology (Q4); Virology (Q4)"
12514;36664;Human Organization;19383525, 19383517;0,375;2021;Q2;"Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
12515;21100970313;Information Sciences Letters;2090956X, 20909551;0,375;2021;Q2;"Library and Information Sciences (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3)"
12516;4700152702;International Journal of Geometric Methods in Modern Physics;2198878;0,375;2021;Q3;Physics and Astronomy (miscellaneous) (Q3)
12517;21100223336;International Journal of Human Capital and Information Technology Professionals;19473486, 19473478;0,375;2021;Q2;"Computer Science (miscellaneous) (Q2); Management of Technology and Innovation (Q3)"
12518;101620;International Journal of Pest Management;09670874, 13665863;0,375;2021;Q2;"Agronomy and Crop Science (Q2); Insect Science (Q3)"
12519;21100943564;International Journal of Turbomachinery, Propulsion and Power;2504186X;0,375;2021;Q3;"Aerospace Engineering (Q3); Energy Engineering and Power Technology (Q3); Mechanical Engineering (Q3)"
12520;130102;Irrigation and Drainage;15310353, 15310361;0,375;2021;Q2;"Agronomy and Crop Science (Q2); Soil Science (Q2)"
12521;28185;Journal for Specialists in Pediatric Nursing;15390136;0,375;2021;Q2;Pediatrics (Q2)
12522;19700183130;Journal of Asia TEFL;24661511, 17383102;0,375;2021;Q1;"Linguistics and Language (Q1); Education (Q2)"
12523;21100244214;Journal of Control, Automation and Electrical Systems;21953880, 21953899;0,375;2021;Q3;"Computer Science Applications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3)"
12524;22872;Journal of Forest Research;13416979, 16107403;0,375;2021;Q2;Forestry (Q2)
12525;19700186894;Journal of GeoEngineering;19908326;0,375;2021;Q3;Geotechnical Engineering and Engineering Geology (Q3)
12526;21101018074;Journal of Index Investing;21547238, 2374135X;0,375;2021;Q3;"Finance (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
12527;21100386854;Journal of Museum Education;10598650, 20516169;0,375;2021;Q1;"Museology (Q1); Education (Q2)"
12528;19171;Journal of Quality in Maintenance Engineering;13552511;0,375;2021;Q2;"Industrial and Manufacturing Engineering (Q2); Safety, Risk, Reliability and Quality (Q2); Strategy and Management (Q3)"
12529;5200152634;Journal of Women and Minorities in Science and Engineering;10728325;0,375;2021;Q2;"Engineering (miscellaneous) (Q2); Gender Studies (Q2)"
12530;28256;Nationalities Papers;14653923, 00905992;0,375;2021;Q1;"History (Q1); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)"
12531;4700152506;NETNOMICS: Economic Research and Electronic Networking;13859587;0,375;2021;Q3;"Computer Networks and Communications (Q3); Economics and Econometrics (Q3); Information Systems (Q3)"
12532;21100310032;OCL - Oilseeds and fats, Crops and Lipids;22726977, 22576614;0,375;2021;Q2;"Agronomy and Crop Science (Q2); Biochemistry (Q3); Food Science (Q3)"
12533;12316;Optical Engineering;15602303, 00913286;0,375;2021;Q2;"Engineering (miscellaneous) (Q2); Atomic and Molecular Physics, and Optics (Q3)"
12534;14397;Plastics, Rubber and Composites;17432898, 14658011;0,375;2021;Q2;"Chemical Engineering (miscellaneous) (Q2); Polymers and Plastics (Q2); Ceramics and Composites (Q3); Materials Chemistry (Q3)"
12535;130153;Sleep and Biological Rhythms;14469235, 14798425;0,375;2021;Q3;"Neurology (Q3); Neuropsychology and Physiological Psychology (Q3); Physiology (medical) (Q3); Physiology (Q4)"
12536;18775;Sociologie du Travail;380296;0,375;2021;Q2;"Industrial Relations (Q2); Sociology and Political Science (Q2)"
12537;130089;Toxin Reviews;15569543, 15569551;0,375;2021;Q4;Toxicology (Q4)
12538;21100875757;Advances in Operator Theory;2538225X;0,374;2021;Q3;"Algebra and Number Theory (Q3); Analysis (Q3)"
12539;5800208186;Arts and Humanities in Higher Education;14740222;0,374;2021;Q1;"Visual Arts and Performing Arts (Q1); Education (Q2)"
12540;21101051834;Atherosclerosis Plus;26670895, 26670909;0,374;2021;Q3;"Cardiology and Cardiovascular Medicine (Q3); Internal Medicine (Q3)"
12541;14976;Canadian Journal of Civil Engineering;03151468, 12086029;0,374;2021;Q3;"Civil and Structural Engineering (Q3); Environmental Science (miscellaneous) (Q3)"
12542;21100204103;Complutum;11316993, 19882327;0,374;2021;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)"
12543;21100828738;Critical Housing Analysis;23362839;0,374;2021;Q2;"Geography, Planning and Development (Q2); Sociology and Political Science (Q2); Urban Studies (Q2)"
12544;21100446423;Ecological Genetics and Genomics;24059854;0,374;2021;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Genetics (Q4)"
12545;21100931380;Environmental Health Insights;11786302;0,374;2021;Q3;"Health, Toxicology and Mutagenesis (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3); Public Health, Environmental and Occupational Health (Q3)"
12546;19700186861;International Journal of Antennas and Propagation;16875877, 16875869;0,374;2021;Q3;Electrical and Electronic Engineering (Q3)
12547;21100992407;International Journal of Modern Education and Computer Science;2075017X, 20750161;0,374;2021;Q2;"Education (Q2); Computer Science Applications (Q3)"
12548;4400151406;International Journal of Operational Research;17457653, 17457645;0,374;2021;Q3;Management Science and Operations Research (Q3)
12549;4700152708;International Journal of Prisoner Health;17449200, 17449219;0,374;2021;Q2;"Health Professions (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
12550;22507;Invertebrate Neuroscience;13542516, 14391104;0,374;2021;Q4;"Cellular and Molecular Neuroscience (Q4); Developmental Neuroscience (Q4)"
12551;19300157109;Irish Educational Studies;17474965, 03323315;0,374;2021;Q2;Education (Q2)
12552;28604;Izvestiya, Physics of the Solid Earth;10693513, 15556506;0,374;2021;Q2;"Earth and Planetary Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q3)"
12553;19700169970;Journal of Intercultural Communication Research;17475759, 17475767;0,374;2021;Q1;"Cultural Studies (Q1); Communication (Q2)"
12554;23056;Journal of Oncology Pharmacy Practice;1477092X, 10781552;0,374;2021;Q3;"Medicine (miscellaneous) (Q3); Oncology (Q3); Pharmacology (medical) (Q3)"
12555;21100438184;Journal of Pre-College Engineering Education Research;21579288;0,374;2021;Q2;"Education (Q2); Engineering (miscellaneous) (Q2)"
12556;21100229411;Journal of Structural Fire Engineering;20402317, 20402325;0,374;2021;Q2;"Safety, Risk, Reliability and Quality (Q2); Mechanical Engineering (Q3); Mechanics of Materials (Q3)"
12557;21000195021;Migration Letters;17418992, 17418984;0,374;2021;Q2;"Demography (Q2); Geography, Planning and Development (Q2)"
12558;19700175073;Open Biotechnology Journal;18740707;0,374;2021;Q3;"Biochemistry (Q3); Bioengineering (Q3); Biomedical Engineering (Q3); Biophysics (Q3); Biotechnology (Q3)"
12559;21100286375;PNRPU Mechanics Bulletin;22249893, 22261869;0,374;2021;Q2;"Computational Mechanics (Q2); Materials Science (miscellaneous) (Q3); Mechanics of Materials (Q3)"
12560;21100981338;Renal Replacement Therapy;20591381;0,374;2021;Q3;"Nephrology (Q3); Transplantation (Q3); Urology (Q3)"
12561;21100381232;Social and Environmental Accountability Journal;0969160X, 21562245;0,374;2021;Q3;Accounting (Q3)
12562;5800208235;Spatial Cognition and Computation;13875868;0,374;2021;Q2;"Earth-Surface Processes (Q2); Computer Graphics and Computer-Aided Design (Q3); Computer Vision and Pattern Recognition (Q3); Experimental and Cognitive Psychology (Q3); Modeling and Simulation (Q3)"
12563;5600156484;Tourism and Hospitality Management;13307533;0,374;2021;Q3;Tourism, Leisure and Hospitality Management (Q3)
12564;19600161803;Annals of Forest Research;18448135, 20652445;0,373;2021;Q2;"Forestry (Q2); Plant Science (Q2); Ecology (Q3)"
12565;21100283772;Annals of Medicine and Surgery;20490801;0,373;2021;Q3;"Medicine (miscellaneous) (Q3); Surgery (Q3)"
12566;5800179622;Applied General Topology;15769402;0,373;2021;Q3;Geometry and Topology (Q3)
12567;29436;Aquatic Living Resources;09907440, 17652952;0,373;2021;Q3;Aquatic Science (Q3)
12568;21100785528;BioResearch Open Access;21647860;0,373;2021;Q3;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)
12569;21100200806;BMC Proceedings;17536561;0,373;2021;Q3;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)"
12570;21100806944;Botanica Pacifica;24103713, 22264701;0,373;2021;Q2;"Plant Science (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
12571;21100370079;Computational Condensed Matter;23522143;0,373;2021;Q3;"Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Materials Chemistry (Q3); Materials Science (miscellaneous) (Q3)"
12572;21100901463;European Endodontic Journal;25480839;0,373;2021;Q3;Dentistry (miscellaneous) (Q3)
12573;20335;Florida Entomologist;154040;0,373;2021;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3)"
12574;21100976731;Forensic Imaging;26662256, 26662264;0,373;2021;Q3;"Pathology and Forensic Medicine (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
12575;21100902532;Global Social Welfare;21968799;0,373;2021;Q2;Sociology and Political Science (Q2)
12576;21100317204;Gynecology and Minimally Invasive Therapy;22133089, 22133070;0,373;2021;Q3;Obstetrics and Gynecology (Q3)
12577;14768;Hispanic Journal of Behavioral Sciences;15526364, 07399863;0,373;2021;Q1;"Cultural Studies (Q1); Linguistics and Language (Q1); Anthropology (Q2); Social Psychology (Q3)"
12578;19900193995;Indian Journal of Genetics and Plant Breeding;09756906, 00195200;0,373;2021;Q3;"Plant Science (Q3); Genetics (Q4)"
12579;25547;Interacting with Computers;18737951, 09535438;0,373;2021;Q2;"Library and Information Sciences (Q2); Human-Computer Interaction (Q3); Software (Q3)"
12580;19900191986;International Journal of Aerospace Engineering;16875974, 16875966;0,373;2021;Q3;Aerospace Engineering (Q3)
12581;19700180906;International Journal of Economic Theory;17427355, 17427363;0,373;2021;Q3;Economics and Econometrics (Q3)
12582;21100313911;international journal of esthetic dentistry,The;2198591X;0,373;2021;Q3;Medicine (miscellaneous) (Q3)
12583;21156;Journal of Fire Sciences;07349041, 15308049;0,373;2021;Q3;"Mechanical Engineering (Q3); Mechanics of Materials (Q3); Safety, Risk, Reliability and Quality (Q3)"
12584;700147309;Journal of General Management;3063070;0,373;2021;Q2;"Business, Management and Accounting (miscellaneous) (Q2); Strategy and Management (Q3)"
12585;23933;Journal of Lie Theory;9495932;0,373;2021;Q3;Algebra and Number Theory (Q3)
12586;21100255536;Journal of Mathematical Physics, Analysis, Geometry;18175805, 18129471;0,373;2021;Q3;"Analysis (Q3); Geometry and Topology (Q3); Mathematical Physics (Q3)"
12587;30014;Journal of Motor Behavior;00222895, 19401027;0,373;2021;Q3;"Biophysics (Q3); Experimental and Cognitive Psychology (Q3); Orthopedics and Sports Medicine (Q3); Sports Science (Q3); Cognitive Neuroscience (Q4)"
12588;21100900147;Micro and Nano Systems Letters;22139621;0,373;2021;Q3;"Biomaterials (Q3); Biomedical Engineering (Q3)"
12589;21100787776;Papers on Social Representations;18193978, 10215573;0,373;2021;Q3;Social Psychology (Q3)
12590;144984;Res Publica;13564765, 15728692;0,373;2021;Q1;"Philosophy (Q1); Law (Q2)"
12591;21100824682;Smart Science;23080477;0,373;2021;Q2;"Chemistry (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Computational Mathematics (Q3); Computer Networks and Communications (Q3); Energy (miscellaneous) (Q3); Fluid Flow and Transfer Processes (Q3); Modeling and Simulation (Q3)"
12592;23620;Studies in Conservation;00393630, 20470584;0,373;2021;Q1;Conservation (Q1)
12593;21100203503;Acta Informatica Medica;03538109, 19865988;0,372;2021;Q3;Medicine (miscellaneous) (Q3)
12594;17579;Actas Espanolas de Psiquiatria;15782735, 11399287;0,372;2021;Q3;Psychiatry and Mental Health (Q3)
12595;12633;Aircraft Engineering and Aerospace Technology;22667;0,372;2021;Q3;Aerospace Engineering (Q3)
12596;13320;Applied Solar Energy (English translation of Geliotekhnika);0003701X, 19349424;0,372;2021;Q3;Renewable Energy, Sustainability and the Environment (Q3)
12597;21100942342;Asian Journal of University Education;26009749, 18237797;0,372;2021;Q3;Education (Q3)
12598;28682;British Journal of Occupational Therapy;03080226, 14776006;0,372;2021;Q2;Occupational Therapy (Q2)
12599;25354;Canadian Journal of African Studies;83968;0,372;2021;Q1;"Cultural Studies (Q1); History (Q1); Anthropology (Q2); Demography (Q2); Development (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)"
12600;23963;Chromatographia;00095893, 16121112;0,372;2021;Q3;"Analytical Chemistry (Q3); Biochemistry (Q3); Clinical Biochemistry (Q3); Organic Chemistry (Q3)"
12601;21101024200;Designs;24119660;0,372;2021;Q2;"Engineering (miscellaneous) (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q3)"
12602;25884;Geofluids;14688115, 14688123;0,372;2021;Q2;Earth and Planetary Sciences (miscellaneous) (Q2)
12603;15360;IEEE Instrumentation and Measurement Magazine;10946969;0,372;2021;Q3;"Electrical and Electronic Engineering (Q3); Instrumentation (Q3)"
12604;19700170838;International Journal of Rural Management;09730680, 09730052;0,372;2021;Q2;"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3); Strategy and Management (Q3)"
12605;21100870829;ISRA International Journal of Islamic Finance;22894365, 01281976;0,372;2021;Q2;"Development (Q2); Economics and Econometrics (Q3); Finance (Q3)"
12606;20576;Journal of Aquatic Food Product Technology;15470636, 10498850;0,372;2021;Q3;"Aquatic Science (Q3); Food Science (Q3)"
12607;12192;Journal of Back and Musculoskeletal Rehabilitation;18786324, 10538127;0,372;2021;Q2;"Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
12608;23103;Journal of Pharmacy Practice;08971900, 15311937;0,372;2021;Q2;"Pharmacy (Q2); Pharmacology (medical) (Q3)"
12609;12693;Military Psychology;15327876, 08995605;0,372;2021;Q2;"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4)"
12610;13823;Noise and Health;14631741, 19984030;0,372;2021;Q3;"Otorhinolaryngology (Q3); Public Health, Environmental and Occupational Health (Q3); Speech and Hearing (Q3)"
12611;19943;Nova Hedwigia;14389134, 00295035;0,372;2021;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
12612;21100209326;Phytotaxa;11793163, 11793155;0,372;2021;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
12613;18300156711;Advances in Cognitive Psychology;18951171;0,371;2021;Q3;"Applied Psychology (Q3); Clinical Psychology (Q3); Neuroscience (miscellaneous) (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3); Experimental and Cognitive Psychology (Q4)"
12614;17700156760;Advances in Materials Science and Engineering;16878442, 16878434;0,371;2021;Q2;"Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q3)"
12615;18300156709;Asia Pacific Journal of Anthropology;17409314, 14442213;0,371;2021;Q1;"Cultural Studies (Q1); Anthropology (Q2)"
12616;1000147123;Business: Theory and Practice;16480627, 18224202;0,371;2021;Q3;"Civil and Structural Engineering (Q3); Strategy and Management (Q3)"
12617;21100456160;Clinical Epidemiology and Global Health;22133984;0,371;2021;Q3;"Infectious Diseases (Q3); Microbiology (medical) (Q3); Public Health, Environmental and Occupational Health (Q3); Epidemiology (Q4)"
12618;4000148707;Explore: The Journal of Science and Healing;18787541, 15508307;0,371;2021;Q2;"Chiropractics (Q2); Complementary and Alternative Medicine (Q2); Nursing (miscellaneous) (Q2); Analysis (Q3); Medicine (miscellaneous) (Q3)"
12619;26900;Fullerenes Nanotubes and Carbon Nanostructures;1536383X, 15364046;0,371;2021;Q3;"Atomic and Molecular Physics, and Optics (Q3); Materials Science (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)"
12620;10600153338;Integrative Psychological and Behavioral Science;19324502, 19363567;0,371;2021;Q1;"Cultural Studies (Q1); Philosophy (Q1); Anthropology (Q2); Applied Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Social Psychology (Q3); Behavioral Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
12621;21100202720;International Journal of Housing Markets and Analysis;17538270, 17538289;0,371;2021;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
12622;19700186898;Journal of Engineering, Design and Technology;17260531;0,371;2021;Q2;Engineering (miscellaneous) (Q2)
12623;25423;Journal of Environmental Horticulture;25735586, 07382898;0,371;2021;Q2;"Horticulture (Q2); Environmental Science (miscellaneous) (Q3)"
12624;19900193251;Journal of International Accounting Research;15588025, 15426297;0,371;2021;Q2;"Business and International Management (Q2); Accounting (Q3)"
12625;15952;Journal of Medical Engineering and Technology;1464522X, 03091902;0,371;2021;Q3;"Biomedical Engineering (Q3); Medicine (miscellaneous) (Q3)"
12626;21225;Materialpruefung/Materials Testing;21958572, 00255300;0,371;2021;Q3;"Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)"
12627;5800224699;Modern Law Review;14682230, 00267961;0,371;2021;Q2;Law (Q2)
12628;21100898991;Modern Stochastics: Theory and Applications;23516046, 23516054;0,371;2021;Q3;"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
12629;24103;Nase More;4696255;0,371;2021;Q3;"Ocean Engineering (Q3); Process Chemistry and Technology (Q3); Transportation (Q3); Water Science and Technology (Q3)"
12630;28819;Nursing Administration Quarterly;03639568, 15505103;0,371;2021;Q2;"Leadership and Management (Q2); Medicine (miscellaneous) (Q3)"
12631;21100420803;Roads and Bridges - Drogi i Mosty;16431618, 2449769X;0,371;2021;Q3;"Building and Construction (Q3); Civil and Structural Engineering (Q3)"
12632;6600153106;Russian Journal of Pacific Geology;18197159, 18197140;0,371;2021;Q2;"Stratigraphy (Q2); Geochemistry and Petrology (Q3); Geology (Q3); Geophysics (Q3); Oceanography (Q3); Paleontology (Q3)"
12633;19500157825;SERIEs;18694187, 18694195;0,371;2021;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
12634;22068;Vanderbilt Law Review;422533;0,371;2021;Q2;Law (Q2)
12635;15418;Women and Therapy;02703149, 15410315;0,371;2021;Q2;"Gender Studies (Q2); Psychology (miscellaneous) (Q3)"
12636;18400156702;Amfiteatru Economic;15829146;0,37;2021;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
12637;21100265343;CALL-EJ;21879036;0,37;2021;Q1;"Linguistics and Language (Q1); Computer Science Applications (Q3)"
12638;25140;Carbonates and Evaporites;8912556;0,37;2021;Q3;Geochemistry and Petrology (Q3)
12639;19700188399;Current protocols in toxicology / editorial board, Mahin D. Maines (editor-in-chief) ... [et al.];19349254, 19349262;0,37;2021;Q3;"Medicine (miscellaneous) (Q3); Toxicology (Q4)"
12640;22203;Forest Pathology;14390329, 14374781;0,37;2021;Q2;"Forestry (Q2); Ecology (Q3)"
12641;5000155600;Health Education;1758714X, 09654283;0,37;2021;Q3;"Education (Q3); Public Health, Environmental and Occupational Health (Q3)"
12642;8600153101;Horticultura Brasileira;18069991, 01020536;0,37;2021;Q2;"Horticulture (Q2); Soil Science (Q2); Plant Science (Q3)"
12643;17932;Integration, the VLSI Journal;1679260;0,37;2021;Q3;"Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3)"
12644;21101038730;International Journal of Geoheritage and Parks;25774441, 2577445X;0,37;2021;Q2;"Development (Q2); Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Social Sciences (miscellaneous) (Q2); Urban Studies (Q2); Geology (Q3)"
12645;29822;Iowa orthopaedic journal, The;15415457;0,37;2021;Q3;Medicine (miscellaneous) (Q3)
12646;19900192552;Journal of Conservative Dentistry;09745203, 09720707;0,37;2021;Q3;Dentistry (miscellaneous) (Q3)
12647;21100265745;Journal of Fish and Wildlife Management;1944687X;0,37;2021;Q2;"Animal Science and Zoology (Q2); Nature and Landscape Conservation (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
12648;22070;Marine Ornithology;10183337;0,37;2021;Q2;"Animal Science and Zoology (Q2); Oceanography (Q3)"
12649;28815;Nurse researcher;13515578;0,37;2021;Q2;"Research and Theory (Q2); Medicine (miscellaneous) (Q3)"
12650;110173;Progress in Transplantation;15269248;0,37;2021;Q3;Transplantation (Q3)
12651;25217;Toxicological and Environmental Chemistry;2772248;0,37;2021;Q3;"Environmental Chemistry (Q3); Health, Toxicology and Mutagenesis (Q3); Pollution (Q3)"
12652;7100153137;Transformations in Business and Economics;16484460;0,37;2021;Q2;"Business and International Management (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Marketing (Q3)"
12653;21100787098;World Economy and International Relations;1312227;0,37;2021;Q2;"Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
12654;24650;American Journal of Mathematical and Management Sciences;1966324;0,369;2021;Q2;"Business, Management and Accounting (miscellaneous) (Q2); Applied Mathematics (Q3)"
12655;22006;Aquatic Geochemistry;13806165, 15731421;0,369;2021;Q3;"Geochemistry and Petrology (Q3); Geophysics (Q3)"
12656;5600155405;Asian Ethnicity;14692953, 14631369;0,369;2021;Q1;"Cultural Studies (Q1); Sociology and Political Science (Q2)"
12657;28625;Australian Journal of Social Issues;1576321;0,369;2021;Q2;Sociology and Political Science (Q2)
12658;21100199849;Basic and Clinical Neuroscience;2008126X;0,369;2021;Q3;"Neurology (clinical) (Q3); Cellular and Molecular Neuroscience (Q4)"
12659;7000153259;Carnets de Geologie;16340744;0,369;2021;Q3;"Geology (Q3); Paleontology (Q3); Stratigraphy (Q3)"
12660;19700175231;China Foundry;16726421;0,369;2021;Q2;"Metals and Alloys (Q2); Materials Chemistry (Q3)"
12661;21100826245;Coupled Systems Mechanics;22342184, 22342192;0,369;2021;Q3;"Civil and Structural Engineering (Q3); Mechanics of Materials (Q3)"
12662;17400154822;East Asian Science, Technology and Society;18752152, 18752160;0,369;2021;Q2;Social Sciences (miscellaneous) (Q2)
12663;21100895622;EconomiA;23582820, 15177580;0,369;2021;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
12664;13051;Education for Primary Care;14739879, 1475990X;0,369;2021;Q3;"Family Practice (Q3); Public Health, Environmental and Occupational Health (Q3)"
12665;21100416194;Estudos de Psicologia (Campinas);19820275, 0103166X;0,369;2021;Q3;Psychology (miscellaneous) (Q3)
